STATION,STATION_NAME,DATE,PRCP,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160307,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160308,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160309,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160310,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160311,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160312,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160313,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160314,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160315,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160316,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160317,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160318,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160319,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160320,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160321,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160322,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160323,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160324,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160325,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160326,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160327,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160328,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160329,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160330,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160331,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160401,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160402,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160403,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160421,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160422,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160423,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160424,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160425,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160426,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160427,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160428,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160429,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160430,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160501,0.01,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160502,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160503,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160504,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160505,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160506,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160507,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160508,0.06,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160509,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160510,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160511,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160512,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160513,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160514,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160516,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160517,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160518,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160519,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160520,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160521,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160522,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160523,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160524,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160525,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160526,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160527,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160528,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160529,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160530,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160531,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160601,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160602,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160603,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160604,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160605,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160606,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160607,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160608,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160609,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160610,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160611,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160612,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160613,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160614,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160615,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160616,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160617,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160618,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160619,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160620,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160621,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160622,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160623,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160624,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160625,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160626,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160627,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160628,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160629,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160630,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160701,0.02,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160702,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160703,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160704,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160705,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160706,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160707,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160708,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160709,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160710,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160711,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160712,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160713,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160714,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160715,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160716,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160717,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160718,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160719,0.06,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160720,0.38,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160721,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160722,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160723,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160724,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160725,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160726,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160727,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160728,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160729,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160730,0.42,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160731,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160801,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160802,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160803,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160804,0.07,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160805,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160806,0.02,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160810,0.65,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160811,0.01,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160817,0.03,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160818,0,
GHCND:US1AZMR0242,PHOENIX 10.0 S AZ US,20160819,0.04,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160104,0.05,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160105,0.35,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160106,1.08,
GHCND:US1AZMR0362,RIO VERDE 0.7 SW AZ US,20160107,0.28,
